"","nsubjects","ntrials","tau","pmiss","standard_X2.5.","standard_X50.","standard_X97.5.","respOnly_X2.5.","respOnly_X50.","respOnly_X97.5.","prespAdj_X2.5.","prespAdj_X50.","prespAdj_X97.5.","mean_X2.5.","mean_X50.","mean_X97.5."
"164","64","100","1","15",-14,-9,-5,-26,-20,-16,1,7,11,-26,-21,-17
"165","64","100","50","0",-8,-3,1,-8,-3,1,-8,-3,1,-4,0,4
"166","64","100","50","5",-10,-6,0,-15,-10,-4,-6,-1,6,-10,-6,0
"167","64","100","50","10",-13,-8,-3,-22,-18,-12,-3,4,10,-17,-13,-8
"168","64","100","50","15",-17,-12,-5,-32,-27,-21,3,8,16,-26,-21,-16
"169","64","100","100","0",-15,-8,0,-15,-8,0,-15,-8,0,2,8,16
"170","64","100","100","5",-17,-10,-3,-23,-16,-10,-10,-3,5,-7,1,7
"171","64","100","100","10",-21,-13,-5,-34,-27,-18,-5,4,12,-16,-9,-1
"172","64","100","100","15",-21,-12,-4,-42,-34,-26,10,22,33,-24,-16,-7
"173","64","100","150","0",-20,-10,-1,-20,-10,-1,-19,-10,-1,9,18,26
"174","64","100","150","5",-23,-13,-4,-31,-21,-13,-13,-3,6,0,7,15
"175","64","100","150","10",-21,-13,-2,-41,-33,-23,4,13,24,-10,-1,8
"176","64","100","150","15",-25,-14,-2,-56,-46,-35,22,37,55,-23,-13,-3
"177","64","100","200","0",-25,-13,-6,-27,-15,-7,-23,-11,-4,9,21,28
"178","64","100","200","5",-27,-16,-3,-39,-29,-15,-15,-3,12,1,10,24
"179","64","100","200","10",-27,-13,-3,-52,-40,-29,5,21,33,-12,1,10
"180","64","100","200","15",-27,-15,0,-71,-58,-44,38,53,74,-26,-15,-1
"181","64","200","1","0",-4,-1,1,-4,-1,1,-4,-1,1,-5,-2,0
"182","64","200","1","5",-8,-4,-1,-11,-7,-5,-5,0,2,-11,-8,-6
"183","64","200","1","10",-9,-6,-2,-17,-13,-9,-1,2,7,-16,-14,-10
"184","64","200","1","15",-12,-8,-5,-23,-20,-16,2,6,10,-23,-20,-17
